ID,title,type,image,released,timeline,description,series,number,publisher,ranking
148,Doctor Aphra #16,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_16.jpg,1/31/2018,1.0086,,Doctor Aphra,16,Marvel,
149,Doctor Aphra #14,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_14.jpg,11/15/2017,1.008,,Doctor Aphra,14,Marvel,
150,Age of Republic - Heroes,TPB,https://minirogue.github.io/SWCovers/TPB/age_of_republic_heroes.jpg,5/15/2019,,,Age of Republic,,Marvel,
151,Age of Rebellion - Heroes,TPB,https://minirogue.github.io/SWCovers/TPB/age_of_rebellion_heroes.jpg,8/7/2019,,,Age of Rebellion,,Marvel,
152,Age of Resistance: Poe Dameron #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/age_of_resistance_poe_dameron_1.jpg,8/28/2019,,,Age of Resistance,,Marvel,
153,Doctor Aphra #13,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_13.jpg,10/11/2017,1.0078,,Doctor Aphra,13,Marvel,
154,Doctor Aphra #12,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_12.jpg,9/13/2017,1.0074,,Doctor Aphra,12,Marvel,
155,Doctor Aphra #22,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_22.jpg,7/25/2018,1.0103,,Doctor Aphra,22,Marvel,
156,Jedi: Fallen Order - Dark Temple,TPB,https://minirogue.github.io/SWCovers/TPB/jedi_fallen_order_dark_temple.jpg,5/12/2020,-18.6,,Jedi: Fallen Order - Dark Temple,,Marvel,
157,Doctor Aphra #19,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_19.jpg,4/25/2018,1.0093,,Doctor Aphra,19,Marvel,
158,Doctor Aphra #18,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_18.jpg,3/28/2018,1.0091,,Doctor Aphra,18,Marvel,
159,Doctor Aphra #21,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_21.jpg,6/27/2018,1.0099,,Doctor Aphra,21,Marvel,
160,Doctor Aphra #20,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_20.jpg,5/23/2018,1.0095,,Doctor Aphra,20,Marvel,
161,Doctor Aphra Vol. 1: Aphra,TPB,https://minirogue.github.io/SWCovers/TPB/doctor_aphra_aphra.jpg,7/3/2017,1.00529,Collects Doctor Aphra #1-6,Doctor Aphra,,Marvel,
162,Darth Maul: Son of Dathomir #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_maul_son_of_dathomir_1.jpg,5/21/2014,-20.8808,,Darth Maul: Son of Dathomir,1,Marvel,
163,Darth Maul: Son of Dathomir #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_maul_son_of_dathomir_2.jpg,6/18/2014,-20.8807,,Darth Maul: Son of Dathomir,2,Marvel,
164,Darth Maul: Son of Dathomir #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_maul_son_of_dathomir_3.jpg,7/16/2014,-20.8806,,Darth Maul: Son of Dathomir,3,Marvel,
165,Darth Maul: Son of Dathomir #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_maul_son_of_dathomir_4.jpg,8/20/2014,-20.8805,,Darth Maul: Son of Dathomir,4,Marvel,
166,Han Solo,TPB,https://minirogue.github.io/SWCovers/TPB/han_solo.jpg,1/4/2017,0.0109,Collects Han Solo #1-5,Han Solo,,Marvel,
167,Han Solo #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/han_solo_1.jpg,6/15/2016,0.011,,Han Solo,1,Marvel,
168,Han Solo #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/han_solo_2.jpg,7/6/2016,0.012,,Han Solo,2,Marvel,
169,Han Solo #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/han_solo_3.jpg,8/31/2016,0.013,,Han Solo,3,Marvel,
170,Han Solo #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/han_solo_4.jpg,10/12/2016,0.014,,Han Solo,4,Marvel,
171,Han Solo #5,Comic Book,https://minirogue.github.io/SWCovers/Comics/han_solo_5.jpg,11/23/2016,0.015,,Han Solo,5,Marvel,
172,Cat and Mouse,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,3/26/2010,-21.2,,The Clone Wars,216,Cartoon Network,
173,Hidden Enemy,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,2/6/2009,-21.1,,The Clone Wars,116,Cartoon Network,
174,Clone Cadets,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,9/17/2010,-20.999,The Domino squad is having trouble making progress in their training. Can they come together to pass the test and become fully fledged soldiers?,The Clone Wars,301,Cartoon Network,
175,Supply Lines,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,9/24/2010,-20.998,"Senator Organa and Representative Binks meet with the king of Toydaria to try to negotiate the use of that neutral planet as a staging ground to bring relief supplies to the war-torn Ryloth. Meanwhile, Jedi Master Ima-Gun Di and his clone battalion work to buy the Twi'leks of Ryloth time to escape an encroaching droid army.",The Clone Wars,303,Cartoon Network,
176,Ambush,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,10/3/2008,-20.997,,The Clone Wars,101,Cartoon Network,
177,Rising Malevolence,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,10/3/2008,-20.996,,The Clone Wars,102,Cartoon Network,
178,Shadow of Malevolence,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,10/10/2008,-20.995,,The Clone Wars,103,Cartoon Network,
179,Destroy Malevolence,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,10/17/2008,-20.994,,The Clone Wars,104,Cartoon Network,
180,Rookies,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,10/24/2008,-20.993,,The Clone Wars,105,Cartoon Network,
181,Downfall of a Droid,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,11/7/2008,-20.992,Anakin gets shot down in a skirmish against General Grievous' fleet. R2-D2 appears lost and Anakin goes searching for him while trying to learn to work with R2's replacement.,The Clone Wars,106,Cartoon Network,
182,Duel of the Droids,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,11/14/2008,-20.991,,The Clone Wars,107,Cartoon Network,
183,Bombad Jedi,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,11/21/2008,-20.99,,The Clone Wars,108,Cartoon Network,
184,Cloak of Darkness,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,12/5/2008,-20.989,,The Clone Wars,109,Cartoon Network,
185,Lair of Grievous,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,12/12/2008,-20.988,,The Clone Wars,110,Cartoon Network,
186,Dooku Captured,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,1/2/2009,-20.987,,The Clone Wars,111,Cartoon Network,
187,The Gungan General,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,1/9/2009,-20.986,,The Clone Wars,112,Cartoon Network,
188,Jedi Crash,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,1/16/2009,-20.985,,The Clone Wars,113,Cartoon Network,
189,Defenders of Peace,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,1/23/2009,-20.984,,The Clone Wars,114,Cartoon Network,
190,Trespass,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,1/30/2009,-20.983,,The Clone Wars,115,Cartoon Network,
191,Blue Shadow Virus,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,2/13/2009,-20.982,,The Clone Wars,117,Cartoon Network,
192,Mystery of a Thousand Moons,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,2/13/2009,-20.981,,The Clone Wars,118,Cartoon Network,
193,Storm over Ryloth,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,2/27/2009,-20.98,,The Clone Wars,119,Cartoon Network,
194,Innocents of Ryloth,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,3/6/2009,-20.979,,The Clone Wars,120,Cartoon Network,
195,Liberty on Ryloth,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,3/13/2009,-20.978,,The Clone Wars,121,Cartoon Network,
196,Holocron Heist,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,10/2/2009,-20.977,,The Clone Wars,201,Cartoon Network,
197,Cargo of Doom,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,10/2/2009,-20.976,,The Clone Wars,202,Cartoon Network,
198,Children of the Force,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,10/9/2009,-20.975,,The Clone Wars,203,Cartoon Network,
199,Bounty Hunters,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,4/2/2010,-20.974,,The Clone Wars,217,Cartoon Network,
200,The Zillo Beast,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,4/9/2010,-20.973,,The Clone Wars,218,Cartoon Network,
201,The Zillo Beast Srikes Back,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,4/16/2010,-20.972,,The Clone Wars,219,Cartoon Network,
202,Senate Spy,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,10/17/2009,-20.971,,The Clone Wars,204,Cartoon Network,
203,Landing at Point Rain,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,11/4/2009,-20.97,,The Clone Wars,205,Cartoon Network,
204,Weapons Factory,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,11/13/2009,-20.969,,The Clone Wars,206,Cartoon Network,
205,Legacy of Terror,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,11/20/2009,-20.968,,The Clone Wars,207,Cartoon Network,
206,Brain Invaders,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,12/4/2009,-20.967,,The Clone Wars,208,Cartoon Network,
207,Grievous Intrigue,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,1/1/2010,-20.966,,The Clone Wars,209,Cartoon Network,
208,The Deserter,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,1/1/2010,-20.965,,The Clone Wars,210,Cartoon Network,
209,Lightsaber Lost,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,1/22/2010,-20.964,,The Clone Wars,211,Cartoon Network,
210,The Mandalore Plot,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,1/29/2010,-20.963,,The Clone Wars,212,Cartoon Network,
211,Voyage of Temptation,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,2/5/2010,-20.962,,The Clone Wars,213,Cartoon Network,
212,Duchess of Mandalore,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,2/12/2010,-20.961,,The Clone Wars,214,Cartoon Network,
213,Death Trap,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,4/23/2010,-20.96,,The Clone Wars,220,Cartoon Network,
214,R2 Come Home,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,4/30/2010,-20.959,,The Clone Wars,221,Cartoon Network,
215,Lethal Trackdown,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,4/30/2010,-20.958,,The Clone Wars,222,Cartoon Network,
216,Corruption,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,10/8/2010,-20.957,,The Clone Wars,305,Cartoon Network,
217,The Academy,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,10/15/2010,-20.956,,The Clone Wars,306,Cartoon Network,
218,Assassin,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,10/22/2010,-20.955,,The Clone Wars,307,Cartoon Network,
219,ARC Troopers,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,9/17/2010,-20.954,,The Clone Wars,302,Cartoon Network,
220,Sphere of Influence,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,10/1/2010,-20.953,,The Clone Wars,304,Cartoon Network,
221,Evil Plans,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,11/5/2010,-20.952,,The Clone Wars,308,Cartoon Network,
222,Hostage Crisis,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,3/20/2009,-20.951,,The Clone Wars,122,Cartoon Network,
223,Hunt for Ziro,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,11/12/2010,-20.95,,The Clone Wars,309,Cartoon Network,
224,Heroes on Both Sides,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,11/19/2010,-20.949,,The Clone Wars,310,Cartoon Network,
225,Pursuit of Peace,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,12/3/2010,-20.948,,The Clone Wars,311,Cartoon Network,
226,Senate Murders,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,3/5/2010,-20.947,,The Clone Wars,215,Cartoon Network,
227,Nightsisters,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,1/7/2011,-20.946,,The Clone Wars,312,Cartoon Network,
228,Monster,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,1/14/2011,-20.945,,The Clone Wars,313,Cartoon Network,
229,Witches of the Mist,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,1/21/2011,-20.944,,The Clone Wars,314,Cartoon Network,
230,Overlords,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,1/28/2011,-20.943,,The Clone Wars,315,Cartoon Network,
231,Altar of Mortis,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,2/4/2011,-20.942,,The Clone Wars,316,Cartoon Network,
232,Ghost of Mortis,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,2/11/2011,-20.941,,The Clone Wars,317,Cartoon Network,
233,The Citadel,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,2/11/2011,-20.94,,The Clone Wars,318,Cartoon Network,
234,Counter Attack,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,3/4/2011,-20.939,,The Clone Wars,319,Cartoon Network,
235,Citadel Rescue,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,3/11/2011,-20.938,,The Clone Wars,320,Cartoon Network,
236,Padawan Lost,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,4/1/2011,-20.937,,The Clone Wars,321,Cartoon Network,
237,Wookiee Hunt,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,4/1/2011,-20.936,,The Clone Wars,322,Cartoon Network,
238,Water War,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,9/16/2011,-20.935,,The Clone Wars,401,Cartoon Network,
239,Gungan Attack,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,9/16/2011,-20.934,,The Clone Wars,402,Cartoon Network,
240,Prisoners,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,9/23/2011,-20.933,,The Clone Wars,403,Cartoon Network,
241,Shadow Warrior,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,9/30/2011,-20.932,,The Clone Wars,404,Cartoon Network,
242,Mercy Mission,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,10/7/2011,-20.931,,The Clone Wars,405,Cartoon Network,
243,Nomad Droids,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,10/14/2011,-20.93,,The Clone Wars,406,Cartoon Network,
244,Darkness on Umbara,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,10/28/2011,-20.929,,The Clone Wars,407,Cartoon Network,
245,The General,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,11/4/2011,-20.928,,The Clone Wars,408,Cartoon Network,
246,Plan of Dissent,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,11/11/2011,-20.927,,The Clone Wars,409,Cartoon Network,
247,Carnage of Krell,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,11/18/2011,-20.926,,The Clone Wars,410,Cartoon Network,
248,Kidnapped,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,11/25/2011,-20.925,,The Clone Wars,411,Cartoon Network,
249,Slaves of the Republic,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,12/2/2011,-20.924,,The Clone Wars,412,Cartoon Network,
250,Escape from Kadavo,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,1/6/2012,-20.923,,The Clone Wars,413,Cartoon Network,
251,A Friend in Need,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,1/13/2012,-20.922,,The Clone Wars,414,Cartoon Network,
252,Deception,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,1/20/2012,-20.921,,The Clone Wars,415,Cartoon Network,
253,Friends and Enemies,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,1/27/2012,-20.92,,The Clone Wars,416,Cartoon Network,
254,The Box,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,2/3/2012,-20.919,,The Clone Wars,417,Cartoon Network,
255,Crisis on Naboo,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,2/10/2012,-20.918,,The Clone Wars,418,Cartoon Network,
256,Massacre,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,2/24/2012,-20.917,,The Clone Wars,419,Cartoon Network,
257,Bounty,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,3/2/2012,-20.916,,The Clone Wars,420,Cartoon Network,
258,Brothers,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,3/9/2012,-20.915,,The Clone Wars,421,Cartoon Network,
259,Revenge,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,3/16/2012,-20.914,,The Clone Wars,422,Cartoon Network,
260,A War on Two Fronts,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_5.jpg,10/6/2012,-20.913,,The Clone Wars,502,Cartoon Network,
261,Front Runners,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_5.jpg,10/13/2012,-20.912,,The Clone Wars,503,Cartoon Network,
262,The Soft War,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_5.jpg,10/20/2012,-20.911,,The Clone Wars,504,Cartoon Network,
263,Tipping Points,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_5.jpg,10/27/2012,-20.91,,The Clone Wars,505,Cartoon Network,
264,The Gathering,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_5.jpg,11/3/2012,-20.909,,The Clone Wars,506,Cartoon Network,
265,A Test of Strength,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_5.jpg,11/10/2012,-20.908,,The Clone Wars,507,Cartoon Network,
266,Bound for Rescue,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_5.jpg,11/17/2012,-20.907,,The Clone Wars,508,Cartoon Network,
267,A Necessary Bond,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_5.jpg,11/24/2012,-20.906,,The Clone Wars,509,Cartoon Network,
268,Secret Weapons,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_5.jpg,12/1/2012,-20.905,,The Clone Wars,510,Cartoon Network,
